timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732623910366,55,2n Tech Nasil-38,200,OK,Thread Group 1-1,bin,true,,757,177,1,1,https://2nhaber.com/wp-content/uploads/2024/11/JGZJHMRCT5M3FEDYAC3FNES6VI-30x20.avif,55,0,0
1732623910421,61,2n Tech Nasil-39,200,OK,Thread Group 1-1,bin,true,,10588,242,1,1,https://2nhaber.com/wp-content/uploads/2024/11/2024-11-06T203129Z_929638687_RC2LMAA0ROIN_RTRMADP_3_USA-ELECTION-TRUMP-MUSK-1-e1731413207491-30x14.jpg,60,0,0
1732623910482,56,2n Tech Nasil-40,200,OK,Thread Group 1-1,bin,true,,738,173,1,1,https://2nhaber.com/wp-content/uploads/2024/11/jtf-ff-001426_4376f482-30x17.jpeg,56,0,0
1732623910538,59,2n Tech Nasil-41,200,OK,Thread Group 1-1,bin,true,,7561,194,1,1,https://2nhaber.com/wp-content/uploads/2024/10/human-hand-and-robot-2024-10-20-23-14-22-utc-30x18.jpg,59,0,0
1732623910597,55,2n Tech Nasil-42,200,OK,Thread Group 1-1,bin,true,,868,224,1,1,https://2nhaber.com/wp-content/uploads/2024/11/AA-20241106-36119511-36119506-DRON_AILESI_YETENEKLERIYLE_ENGEL_TANIMAYACAK-30x23.jpg,55,0,0
1732623910652,55,2n Tech Nasil-43,200,OK,Thread Group 1-1,bin,true,,869,242,1,1,https://2nhaber.com/wp-content/uploads/2024/11/AA-20241023-35990980-35990976-SAHA_EXPO_ULUSLARARASI_SAVUNMA_HAVACILIK_VE_UZAY_SANAYII_FUARI-30x17.jpg,55,0,0
1732623910707,56,2n Tech Nasil-44,200,OK,Thread Group 1-1,bin,true,,1415,176,1,1,https://2nhaber.com/wp-content/uploads/2024/11/DFUXOGR6KROKNE3JJMZ24TF7JA-30x20.jpg,56,0,0
1732623910763,56,2n Tech Nasil-45,200,OK,Thread Group 1-1,bin,true,,894,218,1,1,https://2nhaber.com/wp-content/uploads/2024/11/AA-20241101-36076309-36076306-SINYAL_KARISTIRMAYA_KARSI_MILLI_KALKAN-30x20.jpg,56,0,0
1732623910819,55,2n Tech Nasil-46,200,OK,Thread Group 1-1,bin,true,,807,210,1,1,https://2nhaber.com/wp-content/uploads/2024/11/AA-20241104-36104450-36104420-PARISTE_EURONAVAL_FUARI_ACILDI-30x20.jpg,55,0,0
1732623910874,55,2n Tech Nasil-47,200,OK,Thread Group 1-1,bin,true,,874,159,1,1,https://2nhaber.com/wp-content/uploads/2024/11/435435kea-30x19.jpg,55,0,0
1732623910929,56,2n Tech Nasil-48,200,OK,Thread Group 1-1,bin,true,,682,169,1,1,https://2nhaber.com/wp-content/uploads/2024/10/2n-logo-beyaz-512-1-30x24.png,56,0,0
1732623910985,604,2n Tech Nasil-49,200,OK,Thread Group 1-1,bin,true,,476656,151,1,1,https://2nhaber.com/wp-content/uploads/2024/10/Gif-YBK.gif,59,0,0
1732623911589,55,2n Tech Nasil-50,200,OK,Thread Group 1-1,text,true,,494,209,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css?ver=3.25.10,55,0,0
1732623911645,57,2n Tech Nasil-51,200,OK,Thread Group 1-1,text,true,,5395,173,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-140.css?ver=1732474071,57,0,0
1732623911706,56,2n Tech Nasil-52,200,OK,Thread Group 1-1,text,true,,5167,192,1,1,https://2nhaber.com/wp-content/plugins/elementor/assets/css/widget-social-icons.min.css?ver=3.25.10,56,0,0
1732623911765,59,2n Tech Nasil-53,200,OK,Thread Group 1-1,text,true,,7317,188,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/custom-apple-webkit.min.css?ver=1732474072,59,0,0
1732623911827,57,2n Tech Nasil-54,200,OK,Thread Group 1-1,text,true,,6090,172,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-65.css?ver=1732474072,57,0,0
1732623911889,57,2n Tech Nasil-55,200,OK,Thread Group 1-1,text,true,,6264,172,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-98.css?ver=1732474088,57,0,0
1732623911951,59,2n Tech Nasil-56,200,OK,Thread Group 1-1,text,true,,4610,173,1,1,https://2nhaber.com/wp-content/uploads/elementor/css/post-143.css?ver=1732474072,58,0,0
